Country;Country Code;District;District Code;Cadastre;Cadastre Code
Czech Republic;CZ;Benešov;3201;Alberovice;702919
Czech Republic;CZ;Benešov;3201;Arnoštovice;600466
Czech Republic;CZ;Benešov;3201;Babice u Řehenic;744930
Czech Republic;CZ;Benešov;3201;Bělčice u Ostředka;716278
Czech Republic;CZ;Benešov;3201;Bělice;601951
Czech Republic;CZ;Benešov;3201;Bělokozly;746151
Czech Republic;CZ;Benešov;3201;Benešov u Prahy;602191
Czech Republic;CZ;Benešov;3201;Bernartice u Dolních Kralovic;602655
Czech Republic;CZ;Benešov;3201;Bezděkov u Dolních Kralovic;786993
Czech Republic;CZ;Benešov;3201;Bezmíř;784435
Czech Republic;CZ;Benešov;3201;Beztahov;692034
Czech Republic;CZ;Benešov;3201;Bílkovice;764965
Czech Republic;CZ;Benešov;3201;Blažejovice;605514
Czech Republic;CZ;Benešov;3201;Blaženice;737216
Czech Republic;CZ;Benešov;3201;Blažim nad Vltavou;605531
Czech Republic;CZ;Benešov;3201;Bolina;607207
Czech Republic;CZ;Benešov;3201;Bonkovice;607223
Czech Republic;CZ;Benešov;3201;Borovnice;607801
Czech Republic;CZ;Benešov;3201;Borovsko;607932
Czech Republic;CZ;Benešov;3201;Bořeňovice;608084
Czech Republic;CZ;Benešov;3201;Bořkovice;683434
Czech Republic;CZ;Benešov;3201;Božkovice;632015
Czech Republic;CZ;Benešov;3201;Broumovice;612847
Czech Republic;CZ;Benešov;3201;Brzotice;613495
Czech Republic;CZ;Benešov;3201;Břežany u Lešan;680371
Czech Republic;CZ;Benešov;3201;Budenín;615234
Czech Republic;CZ;Benešov;3201;Bukovany u Týnce nad Sázavou;615820
Czech Republic;CZ;Benešov;3201;Býkovice u Bořeňovic;608092
Czech Republic;CZ;Benešov;3201;Býkovice u Louňovic;687367
Czech Republic;CZ;Benešov;3201;Bystřice u Benešova;616770
Czech Republic;CZ;Benešov;3201;Ctiboř;618004
Czech Republic;CZ;Benešov;3201;Čakov;618276
Czech Republic;CZ;Benešov;3201;Čakovice u Řehenic;744956
Czech Republic;CZ;Benešov;3201;Čečkov;708933
Czech Republic;CZ;Benešov;3201;Čechtice;618888
Czech Republic;CZ;Benešov;3201;Čelivo;619400
Czech Republic;CZ;Benešov;3201;Čeňovice;619531
Czech Republic;CZ;Benešov;3201;Čerčany;619663
Czech Republic;CZ;Benešov;3201;Černé Budy;746169
Czech Republic;CZ;Benešov;3201;Černičí;620165
Czech Republic;CZ;Benešov;3201;Červený Újezd u Miličína;621153
Czech Republic;CZ;Benešov;3201;Čeřenice;746177
Czech Republic;CZ;Benešov;3201;Český Šternberk;623156
Czech Republic;CZ;Benešov;3201;Čestín u Jankova;623377
Czech Republic;CZ;Benešov;3201;Čtyřkoly;624331
